task_id,target,task_weight,planned_task_duration_days,is_planned,is_cross_department,major_activity_weight,pct_of_planned_duration_elapsed,days_remaining_at_prediction,started_late,num_subtasks_as_of_prediction,subtask_completion_pct_as_of_prediction,has_subtasks_at_prediction,num_revisions_before_prediction,position_historical_overdue_rate,position_has_history,employee_active_workload_at_prediction,department_historical_overdue_rate,department_recent_overdue_rate_30d,department_has_history
01eb8f9b-0634-4f9b-91a9-97907e18d916,f,0.00,4,f,f,10.00,0.25000000000000000000,3,t,0,,f,0,0.170,t,65,0.186,0.167,t
01fbdb08-4880-4268-9c94-b3c92f12fb81,f,0.00,4,t,f,33.00,0.25000000000000000000,3,t,0,,f,1,0.091,t,345,0.126,0.094,t
021264d7-52dc-4521-b251-1c2459611f56,f,0.00,3,t,f,20.00,0.33333333333333333333,2,t,0,,f,1,0.308,t,16,0.308,0.343,t
02164a36-7e41-461c-a613-a43dbce0a226,t,0.00,4,t,f,33.00,0.25000000000000000000,3,t,0,,f,1,0.211,t,89,0.131,0.106,t
0216b55e-e981-434e-a4b3-2c3aa27d6738,f,0.00,4,f,f,20.00,0.25000000000000000000,3,t,0,,f,0,0.182,t,3,0.160,0.310,t
023fe002-3c8f-47a8-97fd-89c02f654043,f,0.00,4,f,f,50.00,0.25000000000000000000,3,t,0,,f,0,0.168,t,95,0.168,0.320,t
02417925-3cc6-448a-a911-3efaa32a61f9,f,0.00,4,f,f,15.00,0.25000000000000000000,3,t,0,,f,0,0.123,t,240,0.134,0.315,t
024cfc6a-55e6-428c-b058-0a53cc5e2439,f,0.00,2,t,f,20.00,0.50000000000000000000,1,t,0,,f,1,0.101,t,101,0.085,1.000,t
0250f31f-98cd-4032-b3f9-12ba8674460b,f,0.00,4,t,f,33.00,0.25000000000000000000,3,t,0,,f,4,0.287,t,27,0.231,0.309,t
025a9772-63cc-4436-aaaf-53d99c9dc03b,f,0.00,4,f,f,40.00,0.25000000000000000000,3,t,0,,f,0,0.306,t,17,0.208,0.160,t
025aa9ef-2c9b-4caf-82cf-5adb25cf601a,t,0.00,4,f,f,33.00,0.25000000000000000000,3,t,0,,f,0,0.300,t,21,0.204,0.569,t
025d167c-9225-4d1a-935e-dda3bd4254a9,f,0.00,4,f,f,10.00,0.25000000000000000000,3,t,0,,f,0,0.220,t,104,0.208,0.160,t
02683e66-62d0-42d8-b3de-6409ba5867dd,t,0.00,2,t,f,15.00,0.50000000000000000000,1,t,0,,f,1,0.116,t,88,0.127,0.500,t
029ec52d-115d-4739-98ad-7c756c2f59e9,t,0.00,4,f,f,34.00,0.25000000000000000000,3,t,0,,f,2,0.000,t,2,0.000,0.000,t
02a0158f-fd3b-4fca-8e85-8e5036668484,f,0.00,4,t,f,25.00,0.25000000000000000000,3,f,0,,f,3,0.291,t,39,0.291,0.333,t
02ab5643-46b4-4ef9-bd4b-564366f3981e,f,0.00,4,f,f,20.00,0.25000000000000000000,3,t,0,,f,0,0.143,t,211,0.149,0.167,t
02b05803-7f02-40d4-b3ce-f631d0244310,t,0.00,4,f,f,25.00,0.25000000000000000000,3,t,0,,f,0,0.158,t,6,0.174,0.274,t
02e30505-c05b-4261-9810-277d43873720,t,0.00,4,t,f,33.00,0.25000000000000000000,3,t,0,,f,1,0.199,t,89,0.188,0.396,t
02f00034-1bf0-434f-8378-1d19387fe53f,t,0.00,4,t,f,25.00,0.25000000000000000000,3,f,0,,f,2,0.535,t,12,0.233,0.160,t
0300ce70-08c8-40e5-ad10-5eb016015ae9,f,0.00,4,t,f,30.00,0.25000000000000000000,3,t,0,,f,1,0.184,t,26,0.190,0.447,t
0306b1c5-e567-4504-9433-72af1c9378d3,t,0.00,6,f,f,33.00,0.16666666666666666667,5,t,0,,f,0,0.529,t,26,0.300,0.225,t
0310fc67-728a-466e-951b-716ec20df0b3,t,0.00,4,t,f,10.00,0.25000000000000000000,3,t,0,,f,1,0.110,t,90,0.164,0.348,t
0315eade-b089-4f6f-9765-ea85ff4354a3,f,0.00,4,t,f,33.00,0.25000000000000000000,3,t,0,,f,1,0.200,t,93,0.161,0.402,t
031c91fb-2b23-472c-b6ae-3f266e9d92fc,f,0.00,4,t,f,34.00,0.25000000000000000000,3,t,0,,f,1,0.165,t,209,0.186,0.235,t
0327323a-9beb-466e-9545-08a36d68d301,f,0.00,4,f,f,33.00,0.25000000000000000000,3,t,0,,f,0,0.195,t,398,0.376,0.667,t
0327c644-c4ee-45bd-9613-7b4724b27fcf,f,0.00,6,f,f,33.00,0.16666666666666666667,5,t,0,,f,0,0.189,t,14,0.306,0.216,t
03388427-079d-4962-b53e-8efb9f59ae3c,t,0.00,1,t,f,34.00,1.0,0,t,0,,f,1,0.123,t,323,0.195,0.348,t
033c5661-6c2f-4956-b017-8e2880e8cd9c,t,0.00,1,f,f,25.00,1.0,0,t,0,,f,0,0.300,t,172,0.261,0.361,t
0353c8c4-dca1-4b4d-a229-929e0ef7a670,f,0.00,4,f,f,33.00,0.25000000000000000000,3,t,0,,f,0,0.101,t,240,0.137,0.080,t
035b1a07-a9ab-42de-8185-8fe71d37fa99,f,0.00,4,t,f,33.00,0.25000000000000000000,3,t,0,,f,1,0.134,t,163,0.132,0.292,t
0363169f-9512-4f82-97f2-1a4d59efadea,f,0.00,4,t,f,35.00,0.25000000000000000000,3,t,0,,f,1,0.338,t,10,0.201,0.386,t
036356be-e36b-48c4-aa6e-6832a9c97753,t,0.00,4,f,f,14.00,0.25000000000000000000,3,t,0,,f,0,0.156,t,99,0.187,0.272,t
0378d4fb-5d26-4c7a-bdaf-17248629b4b9,f,0.00,4,f,f,5.00,0.25000000000000000000,3,t,0,,f,0,0.352,t,26,0.251,0.143,t
037ef5dc-a458-446b-ba07-7f4dd68d4972,f,0.00,4,f,f,5.00,0.25000000000000000000,3,t,0,,f,0,0.213,t,109,0.215,0.467,t
03834873-98bc-4851-8238-b5ca4ab62ec8,f,0.00,4,t,f,60.00,0.25000000000000000000,3,t,0,,f,1,0.123,t,241,0.118,0.067,t
0399a7f8-c5be-4353-9502-1289de5df3f6,f,0.00,4,t,f,33.00,0.25000000000000000000,3,t,0,,f,2,0.088,t,336,0.130,0.146,t
0399d7b8-498f-4c55-af8c-5abdc476cd11,f,0.00,4,f,f,33.00,0.25000000000000000000,3,t,0,,f,0,0.121,t,243,0.119,0.023,t
039ebb98-a1e8-45da-9e86-86be3e7806b2,f,0.00,4,t,f,33.00,0.25000000000000000000,3,t,0,,f,1,0.231,t,15,0.231,0.000,t
03afe136-424f-40e0-9bc9-09b06a0e3b35,f,0.00,4,f,f,50.00,0.25000000000000000000,3,t,0,,f,0,0.088,t,336,0.130,0.146,t
03be67f8-c986-4d80-b4e9-03e1dec299b0,f,0.00,4,f,f,5.00,0.25000000000000000000,3,t,0,,f,0,0.213,t,109,0.215,0.467,t
03c1eb31-5e7d-4e45-8159-27e5cffc59ac,f,0.00,4,f,f,13.00,0.25000000000000000000,3,t,0,,f,0,0.093,t,324,0.171,0.225,t
03e1d583-d69d-4b57-94e2-288cce8867e6,f,0.00,4,f,f,30.00,0.25000000000000000000,3,t,0,,f,0,0.537,t,4,0.537,1.000,t
03e30d08-183e-4612-ac40-af95ba5e290a,f,0.00,4,t,f,33.00,0.25000000000000000000,3,t,0,,f,2,0.090,t,357,0.127,0.118,t
03e85ed3-be3c-42f1-b027-f38c65055dfd,t,0.00,4,t,f,15.00,0.25000000000000000000,3,t,0,,f,1,0.157,t,271,0.168,0.333,t
03e9f4c5-dceb-4990-991f-d065cd91b355,f,0.00,4,f,f,33.00,0.25000000000000000000,3,t,0,,f,0,0.102,t,236,0.140,0.143,t
03fa253e-1804-4b80-a69f-6acbf8b86291,t,0.00,4,t,f,10.00,0.25000000000000000000,3,t,0,,f,1,0.360,t,5,0.180,0.128,t
03fc0801-f7a4-44c3-bad2-37869a0713f4,f,0.00,4,t,f,33.00,0.25000000000000000000,3,t,0,,f,1,0.159,t,69,0.165,0.297,t
0408f610-7f15-4568-b507-2b5335e5b2d1,f,0.00,4,f,f,33.00,0.25000000000000000000,3,t,0,,f,2,0.111,t,348,0.142,0.306,t
040be578-2ad2-4f23-b3ce-e4ec7578cb3f,f,0.00,4,t,f,10.00,0.25000000000000000000,3,t,0,,f,2,0.250,t,3,0.250,0.222,t
0412df2c-bfb6-4871-a1da-60cc23931c74,f,0.00,4,t,t,32.00,0.25000000000000000000,3,t,0,,f,1,0.242,f,0,0.242,0.242,f
0419cd52-8557-4120-b919-384c1138e1cc,f,0.00,4,t,f,33.00,0.25000000000000000000,3,t,0,,f,1,0.319,t,173,0.254,0.452,t
04217b04-ed16-499a-8007-0a4274f99932,f,0.00,4,f,f,3.00,0.25000000000000000000,3,t,0,,f,0,0.224,t,269,0.212,0.324,t
0422cf9b-043a-4e44-8617-848c5dea31e7,f,0.00,4,t,f,40.00,0.25000000000000000000,3,t,0,,f,1,0.123,t,241,0.118,0.067,t
046a0912-22d7-4db7-a7df-5eabcf25fe76,f,0.00,4,f,f,33.00,0.25000000000000000000,3,t,0,,f,0,0.141,t,168,0.137,0.198,t
046c059f-b1be-435b-92e2-0dd7c16a8dfc,t,0.00,4,f,f,40.00,0.25000000000000000000,3,t,0,,f,0,0.100,t,11,0.147,0.267,t
046def4a-0f49-4032-abc7-e15bc6062ae2,t,0.00,4,f,t,50.00,0.25000000000000000000,3,t,0,,f,0,0.242,f,0,0.242,0.242,f
0472b3a1-2853-4e46-974a-56cd731eb6c6,f,0.00,3,t,f,33.00,0.33333333333333333333,2,t,0,,f,1,0.157,t,126,0.219,0.056,t
048672ea-5a47-4f9b-bd63-80c793b4db66,f,0.00,4,f,f,15.00,0.25000000000000000000,3,t,0,,f,0,0.185,t,276,0.229,0.568,t
048e4b57-c438-4613-bd8e-cf37289ac186,f,0.00,4,t,f,20.00,0.25000000000000000000,3,t,0,,f,1,0.128,t,326,0.201,0.400,t
04a39f8d-2668-4433-83ed-50b99191d80a,f,0.00,4,t,f,33.00,0.25000000000000000000,3,t,0,,f,1,0.126,t,237,0.119,0.061,t
04afa2e4-4c9c-4327-bbfb-54a0c8a5661f,t,0.00,4,f,f,25.00,0.25000000000000000000,3,t,0,,f,0,0.321,t,9,0.194,0.452,t
04b59544-9cd4-41a6-8a30-af7bd684086e,t,0.00,4,t,f,33.00,0.25000000000000000000,3,t,0,,f,2,0.093,t,348,0.127,0.117,t
04c8d2f9-0a64-4890-98ac-c830bd0dd52e,t,0.00,4,t,f,25.00,0.25000000000000000000,3,f,0,,f,2,0.417,t,13,0.200,0.327,t
04d54f98-ecd9-421f-9ab9-9cff98eefe81,t,0.00,4,f,f,33.00,0.25000000000000000000,3,t,0,,f,0,0.571,t,1,0.571,0.571,t
04eda8c3-dff5-430c-bf1c-fc1e92527779,t,0.00,4,t,f,20.00,0.25000000000000000000,3,t,0,,f,1,0.182,t,3,0.160,0.310,t
04f3ed6a-4619-43a0-b399-1a5b9eb4e1c0,f,0.00,4,t,f,33.00,0.25000000000000000000,3,f,0,,f,2,0.444,t,4,0.177,0.388,t
04f41ab0-c578-477f-9e25-f338ce62775a,f,0.00,4,f,f,10.00,0.25000000000000000000,3,t,0,,f,0,0.103,t,58,0.187,0.363,t
04feb733-36e1-4757-9807-64e169a4771a,f,0.00,4,t,f,10.00,0.25000000000000000000,3,f,0,,f,2,0.291,t,39,0.291,0.333,t
05062b25-2293-4c77-8038-070a9b7cf9c7,t,0.00,4,f,f,33.00,0.25000000000000000000,3,t,0,,f,0,0.191,t,159,0.127,0.500,t
0517b7a2-49f2-4469-8ffb-4460a228556e,t,0.00,4,t,f,5.00,0.25000000000000000000,3,t,0,,f,1,0.197,t,267,0.178,0.265,t
051e7d12-873a-42ad-9da3-97b15555f59f,f,0.00,4,t,f,33.00,0.25000000000000000000,3,t,0,,f,1,0.134,t,163,0.132,0.292,t
0528de5f-8a7a-4121-bec1-a3558ffab20a,f,0.00,4,f,f,10.00,0.25000000000000000000,3,t,0,,f,0,0.391,t,7,0.391,0.214,t
0529d4cf-00e0-48d9-87a3-b064dbd3a934,f,0.00,4,f,f,5.00,0.25000000000000000000,3,t,0,,f,0,0.213,t,115,0.218,0.526,t
0551028b-2057-4679-9fa5-d4019f85378e,t,0.00,4,t,f,10.00,0.25000000000000000000,3,t,0,,f,2,0.424,t,182,0.383,0.647,t
0553a786-8ca5-4ed9-abb3-7122162cba44,f,0.00,3,t,f,33.00,0.33333333333333333333,2,t,0,,f,1,0.111,t,237,0.129,0.115,t
