id,calculated_overdue,target_source,planned_duration,creation_to_planned_start,created_dow,created_is_weekend,created_is_friday,created_month,created_quarter,is_planned,risk_mapping,is_cross_dept,cross_dept_pair_exists,dept_past_overdue_rate,dept_avg_revisions,emp_past_overdue_rate,pos_past_overdue_rate,status_encoded,approval_status_encoded,lead_approval_status_encoded,ma_status_encoded,ma_approval_status_encoded,num_ma_revisions,kpi_is_overdue_flag,kpi_status_ordinal,num_kpi_revisions,num_revisions,revision_frequency,revision_recency,num_subtasks,has_subtasks,subtask_completion_pct,subtask_overdue_rate,task_comment_count,avg_sub_status_changes
5689b48a-06c0-4e80-bdc0-aeef4a5b4f26,1,updated_date,0,-4,6,1,0,12,4,1,6.0,0,0,0.609981515711645,0.0,0.575107296137339,0.575107296137339,2,0,2,2,0,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
7e56978b-a159-4a75-96c4-bc3ae4b04a1a,0,actual_end_date,4,-1,0,0,0,11,4,1,6.0,0,0,0.43162393162393164,0.0,0.3220338983050847,0.3220338983050847,2,0,2,2,2,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
3eefff45-2d3c-4fa7-9e22-b3b09f833c3f,0,updated_date,4,0,6,1,0,12,4,1,6.0,0,0,0.7300469483568075,0.0,0.7129337539432177,0.7129337539432177,2,0,2,2,0,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
cc78cc40-50a8-4a72-a86d-aeaf7d73748b,1,actual_end_date,0,-5,0,0,0,10,4,1,6.0,0,0,0.5465994962216625,0.0,1.0,1.0,2,0,2,2,0,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
a1e55a16-56ed-4b3a-8c18-4c5b677993d9,1,updated_date,0,-4,6,1,0,12,4,1,6.0,0,0,0.6391304347826087,0.0,0.65424739195231,0.5923566878980892,2,0,2,2,0,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
e1bfd8a0-7936-4404-9133-cfd25d90509a,0,actual_end_date,4,-1,0,0,0,11,4,1,6.0,0,0,0.45107794361525705,0.0,0.3695652173913043,0.3695652173913043,2,0,2,2,2,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
d3a1657e-31c4-4428-a4bf-d0b175fad8a0,0,status_based,4,-1,0,0,0,10,4,1,0.0,0,0,0.7453416149068323,0.0,0.7449392712550608,0.7449392712550608,4,0,2,2,0,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
13902dfd-4b64-4464-946a-1be7e2e7262b,1,updated_date,4,-5,4,0,1,11,4,1,6.0,0,0,0.6722689075630253,0.0021008403361344537,0.6153846153846154,0.6153846153846154,2,0,2,2,0,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
7bfa08b4-c707-40fc-8f20-50fbcb0ecfa9,0,actual_end_date,4,-1,0,0,0,11,4,1,6.0,0,0,0.7588235294117647,0.0,0.7419354838709677,0.8095238095238095,2,0,2,2,0,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
2a6cf03b-9663-4e90-9f40-1f7bbf9a5462,1,updated_date,0,0,6,1,0,12,4,1,6.0,0,0,0.6521739130434783,0.0,0.6482334869431644,0.6666666666666666,2,0,2,2,0,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
6232f092-cb6e-4d25-bd20-86a64a624ab1,1,updated_date,10,-118,0,0,0,5,2,1,6.0,0,0,0.9655172413793104,0.0,0.8596491228070176,1.0,2,0,2,2,2,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
77f0c5a6-b7a1-44cf-986d-7b52598ad901,1,updated_date,0,0,6,1,0,12,4,1,6.0,0,0,0.6698795180722892,0.0,0.6516516516516516,0.6516516516516516,2,0,2,2,0,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
f6f828dc-f203-4aaa-bd6b-a770b4e30cd9,1,updated_date,4,2,4,0,1,10,4,1,6.0,0,0,0.7152317880794702,0.0,0.6679920477137177,0.4780856423173804,2,0,2,2,2,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
bd098cac-22c6-4d15-b59b-a9edb3ae9e99,1,updated_date,4,-1,0,0,0,11,4,1,6.0,0,0,0.4196185286103542,0.0,0.3005181347150259,0.3005181347150259,2,0,2,2,2,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
8f03d027-97b4-4769-8a8f-f41eb592a2fb,1,updated_date,4,-1,0,0,0,12,4,1,6.0,0,0,0.599250936329588,0.0,0.5732758620689655,0.5732758620689655,2,0,2,2,2,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
2f6d03b8-b451-4e99-801a-6c88ffe834d3,1,updated_date,0,-4,6,1,0,12,4,1,6.0,0,0,0.6406926406926406,0.0,0.6471494607087828,0.7605633802816901,2,0,2,2,0,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
a7c20a95-afe3-47d4-9adf-249fd4ea6361,0,updated_date,0,-1,4,0,1,11,4,1,6.0,0,0,0.6729957805907173,0.002109704641350211,0.6274509803921569,0.6274509803921569,2,0,2,2,0,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
620a69fb-c465-4e09-b8cc-948db8279b9d,1,updated_date,4,-1,0,0,0,11,4,1,6.0,0,0,0.7619047619047619,0.0,0.7586206896551724,0.8421052631578947,2,0,2,2,0,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
ac60f032-4519-46be-a7d4-385618831e11,0,updated_date,4,-1,0,0,0,11,4,1,6.0,0,0,0.4334763948497854,0.0,0.35106382978723405,0.35106382978723405,2,0,2,2,2,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
1120f9e3-763e-4b6e-875c-63c876842805,1,updated_date,4,-1,0,0,0,12,4,1,6.0,0,0,0.6007462686567164,0.0,0.575107296137339,0.575107296137339,2,0,2,2,2,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
8a6cfc0e-8930-4443-8c38-e8566cbf9436,1,updated_date,0,3,6,1,0,12,4,1,6.0,0,0,0.7320574162679426,0.0,0.7106109324758842,0.7106109324758842,2,0,2,2,0,0,0,1,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0
